dates,data_GDP,data_cc,data_ASind
1960,0.0154390665072768,0.00273162464115373,-0.00236318931085178
1960.25,-0.00822035941181287,0.00972055598840349,-0.0138823227805855
1960.5,0.00168895132080893,-0.00719881530288369,-0.00868771162306192
1960.75,-0.0164313159115812,-0.00221987165019222,0.003885897228324
1961,0.0030835150116082,-0.00401448134269256,0.00230251765842548
1961.25,0.0136095787258772,0.0115496370242969,0.0181392935952855
1961.5,0.0159448401059841,0.00178231253736705,0.0203883561565583
1961.75,0.0178341965119029,0.0183277874278982,0.0582622151617558
1962,0.0160948324805577,0.00895258089341855,0.0357409775288871
1962.25,0.00531151326205759,0.00853422318895891,0.0482620372805851
1962.5,0.007641616587303,0.00345821397995927,0.062900834065394
1962.75,-0.00233054926673937,0.00843626190494362,0.0185531816179774
1963,0.00595861868177971,0.00208216401599337,0.0976125633938494
1963.25,0.00683835389812781,0.00507176739161519,-0.0484992848483634
1963.5,0.017637300197495,0.00936602343443038,0.0389660053489822
1963.75,0.00231267730531703,0.00407618803818499,-0.0181023538581695
1964,0.0166564652321779,0.0152295216686649,0.00376416704163662
1964.25,0.00683512264362518,0.0135411128965153,0.00677765978049716
1964.5,0.0111933210277311,0.0139943479263405,-0.0455104415202519
1964.75,-0.00131288381798988,-0.00154661928707966,0.0135381619677142
1965,0.0197278403747512,0.0178744362827779,0.00671390414249395
1965.25,0.00850316545518437,0.00691760897521831,0.0354950432625747
1965.5,0.018667101853751,0.0137148195010774,0.0359513678221293
1965.75,0.0194366447047054,0.0243828158848474,0.0833856854851933
1966,0.0213650181432286,0.0119685588646825,0.0890536632542511
1966.25,0.000611752302925428,-0.000239300629531147,-0.00930871156329127
1966.5,0.00558296430730598,0.00850428578118168,0.07194881521255
1966.75,0.00518572523455418,0.00117266248433801,0.0087599505110374
1967,0.00550469319414937,0.00243363199049096,0.0233694344157382
1967.25,-0.00312571490927427,0.00984064999303635,0.0358497069256511
1967.5,0.00449808774434324,0.000188140640384304,-0.0337817096327349
1967.75,0.0029766963477047,0.00156540800532312,0.00851673271387354
1968,0.0162996482540811,0.0197923605238683,-0.00376190282687383
1968.25,0.0131831177886257,0.0117256470823226,-0.0849693328985774
1968.5,0.00364586386336985,0.0144947236520445,-0.0182736048531129
1968.75,-0.000826908965529949,-0.000251691827377609,-0.0489405792216404
1969,0.0110547178168403,0.00655160199775962,-6.14843872279724e-05
1969.25,-0.00103450144317163,0.00236052670871878,-0.00801906950689868
1969.5,0.00230468399958461,0.000584917439308885,-0.00130749573353217
1969.75,-0.00971887927011705,0.00313051893228211,-0.03459235399161
1970,-0.00667025777061969,0.00100125305991972,-0.0878133864223913
1970.25,-0.00391502613531847,-0.000813511754370833,-0.0800685737033555
1970.5,0.00348747778175884,0.0030429936780032,-0.0497780327676229
1970.75,-0.0166087305583753,-0.00855316980819953,-0.0575493580186761
1971,0.021219913578566,0.0134357096238893,-0.0340473456985011
1971.25,-0.000295605203825211,0.00345635986205517,-0.0122540566560507
1971.5,0.00266637432466821,0.00241161375209709,0.00157305612530712
1971.75,-0.00331153170556053,0.010789741443924,0.0085192100812812
1972,0.00694515983986932,0.00183448569376621,-0.00190235733531452
1972.25,0.017189920783609,0.0136037716098261,-0.0240384
1972.5,0.00409911451937228,0.00999312874746749,-0.032295
1972.75,0.0118268974916598,0.0184165996765504,0.0579514
1973,0.0192998941454312,0.0129456936402979,0.0855849
1973.25,0.00566635562163942,-0.00561230440141403,0.0267355
1973.5,-0.0104303982311906,-0.00164386166262709,0.0170465
1973.75,0.00439052921372429,-0.00804412589327619,0.0150922
1974,-0.0137535798256168,-0.0141055894418316,-0.0278069
1974.25,-0.00271414886836396,-0.00149377017913421,-0.0191743
