dates,data_GDP,data_cc,data_ukas,data_ASind
1960,0.0154390665072768,0.00273162464115373,68.1814,NaN
1960.25,-0.00822035941181287,0.00972055598840349,67.0209333333333,NaN
1960.5,0.00168895132080893,-0.00719881530288369,66.1836666666667,NaN
1960.75,-0.0164313159115812,-0.00221987165019222,66.2226,NaN
1961,0.0030835150116082,-0.00401448134269256,66.1497333333333,NaN
1961.25,0.0136095787258772,0.0115496370242969,67.1787,NaN
1961.5,0.0159448401059841,0.00178231253736705,68.3227,NaN
1961.75,0.0178341965119029,0.0183277874278982,71.7555,NaN
1962,0.0160948324805577,0.00895258089341855,73.6320333333333,NaN
1962.25,0.00531151326205759,0.00853422318895891,76.0865333333333,NaN
1962.5,0.007641616587303,0.00345821397995927,79.1231333333333,NaN
1962.75,-0.00233054926673937,0.00843626190494362,79.8648333333333,NaN
1963,0.00595861868177971,0.00208216401599337,84.2029333333333,NaN
1963.25,0.00683835389812781,0.00507176739161519,81.8693,NaN
1963.5,0.017637300197495,0.00936602343443038,83.4859666666667,NaN
1963.75,0.00231267730531703,0.00407618803818499,82.5201666666667,NaN
1964,0.0166564652321779,0.0152295216686649,82.5397333333333,NaN
1964.25,0.00683512264362518,0.0135411128965153,82.6961666666667,NaN
1964.5,0.0111933210277311,0.0139943479263405,80.425,NaN
1964.75,-0.00131288381798988,-0.00154661928707966,80.9090666666667,NaN
1965,0.0197278403747512,0.0178744362827779,81.0682333333333,NaN
1965.25,0.00850316545518437,0.00691760897521831,82.5553333333333,NaN
1965.5,0.018667101853751,0.0137148195010774,84.0159666666667,NaN
1965.75,0.0194366447047054,0.0243828158848474,87.4233,NaN
1966,0.0213650181432286,0.0119685588646825,90.8352666666667,NaN
1966.25,0.000611752302925428,-0.000239300629531147,90.3456333333333,NaN
1966.5,0.00558296430730598,0.00850428578118168,92.9518666666667,NaN
1966.75,0.00518572523455418,0.00117266248433801,93.1528333333333,NaN
1967,0.00550469319414937,0.00243363199049096,93.8888333333333,NaN
1967.25,-0.00312571490927427,0.00984064999303635,95.0636,NaN
1967.5,0.00449808774434324,0.000188140640384304,93.7206666666667,NaN
1967.75,0.0029766963477047,0.00156540800532312,93.9100666666667,NaN
1968,0.0162996482540811,0.0197923605238683,93.6505666666667,NaN
1968.25,0.0131831177886257,0.0117256470823226,90.3167333333333,NaN
1968.5,0.00364586386336985,0.0144947236520445,89.4689666666667,NaN
1968.75,-0.000826908965529949,-0.000251691827377609,87.3595333333333,NaN
1969,0.0110547178168403,0.00655160199775962,87.2194666666667,NaN
1969.25,-0.00103450144317163,0.00236052670871878,86.7483333333333,NaN
1969.5,0.00230468399958461,0.000584917439308885,86.5544333333333,NaN
1969.75,-0.00971887927011705,0.00313051893228211,84.9410333333333,NaN
1970,-0.00667025777061969,0.00100125305991972,80.8238,NaN
1970.25,-0.00391502613531847,-0.000813511754370833,76.6880333333333,NaN
1970.5,0.00348747778175884,0.0030429936780032,73.8158333333333,NaN
1970.75,-0.0166087305583753,-0.00855316980819953,70.2233,NaN
1971,0.021219913578566,0.0134357096238893,67.8136333333333,NaN
1971.25,-0.000295605203825211,0.00345635986205517,66.7520333333333,NaN
1971.5,0.00266637432466821,0.00241161375209709,66.6297333333333,NaN
1971.75,-0.00331153170556053,0.010789741443924,66.9883666666667,NaN
1972,0.00694515983986932,0.00183448569376621,66.6261333333333,NaN
1972.25,0.017189920783609,0.0136037716098261,65.1106333333333,-0.0240384
1972.5,0.00409911451937228,0.00999312874746749,63.8755333333333,-0.032295
1972.75,0.0118268974916598,0.0184165996765504,67.0432333333333,0.0579514
1973,0.0192998941454312,0.0129456936402979,71.4019666666667,0.0855849
1973.25,0.00566635562163942,-0.00561230440141403,72.9839666666667,0.0267355
1973.5,-0.0104303982311906,-0.00164386166262709,74.5439,0.0170465
1973.75,0.00439052921372429,-0.00804412589327619,75.4895666666667,0.0150922
1974,-0.0137535798256168,-0.0141055894418316,73.5610333333333,-0.0278069
1974.25,-0.00271414886836396,-0.00149377017913421,72.5371,-0.0191743
1974.5,-0.0145011936043553,-0.00071861680326446,74.1858,0.0234111
1974.75,-0.00889309640060709,-0.0197289775749185,74.2896666666667,0.0068023
1975,-0.0170908074138447,0.0035090861255398,71.3008,-0.055589
1975.25,0.00239172071600668,0.0115864568661861,70.8958,-0.0039026
1975.5,0.0112820081788421,0.00842278002800745,70.1241333333333,-0.0184179
1975.75,0.00845627977348373,0.00577691401013913,69.4061,-0.0092704
1976,0.0174638157154963,0.0150216743106548,69.5123666666667,-0.0044013
1976.25,0.00281499269388119,0.00466334107570665,66.9177333333333,-0.0481758
1976.5,0.000649768122620742,0.00565148416427608,63.8158,-0.0473793
1976.75,0.00278993578396403,0.00845892512128188,64.6861666666667,0.0090457
1977,0.00737493275519929,0.0073472271247037,65.5482,0.0182435
1977.25,0.0145688130708268,0.000722156453603962,68.6658666666667,0.0563006
1977.5,0.0129950677172479,0.00452327326792235,68.0736,-0.0249284
1977.75,-0.00442579303862756,0.0104760162528033,62.3167,-0.1118378
1978,-0.00110255202458598,0.00131302420970547,65.6018333333333,0.0844936
1978.25,0.0335923894669738,0.0168311543625173,72.1700333333333,0.1126767
1978.5,0.0054361462543886,-0.000378568757978925,75.2237,0.066184
1978.75,0.0086852680347187,0.00337020515867081,77.3754,0.0344383
1979,-0.00268586274324845,0.000683710630793755,79.9142,0.0602299
1979.25,-0.00314217909516135,-0.00486005953378665,79.1688666666667,0.0224226
1979.5,0.00283677118144121,0.00511935143778919,81.3457666666667,0.0467515
