dates,data_GDP,data_cc,data_IT
1960,0.0154390665072768,0.00273162464115373,NaN
1960.25,-0.00822035941181287,0.00972055598840349,NaN
1960.5,0.00168895132080893,-0.00719881530288369,NaN
1960.75,-0.0164313159115812,-0.00221987165019222,NaN
1961,0.0030835150116082,-0.00401448134269256,NaN
1961.25,0.0136095787258772,0.0115496370242969,NaN
1961.5,0.0159448401059841,0.00178231253736705,NaN
1961.75,0.0178341965119029,0.0183277874278982,NaN
1962,0.0160948324805577,0.00895258089341855,NaN
1962.25,0.00531151326205759,0.00853422318895891,NaN
1962.5,0.007641616587303,0.00345821397995927,NaN
1962.75,-0.00233054926673937,0.00843626190494362,NaN
1963,0.00595861868177971,0.00208216401599337,NaN
1963.25,0.00683835389812781,0.00507176739161519,NaN
1963.5,0.017637300197495,0.00936602343443038,NaN
1963.75,0.00231267730531703,0.00407618803818499,NaN
1964,0.0166564652321779,0.0152295216686649,NaN
1964.25,0.00683512264362518,0.0135411128965153,NaN
1964.5,0.0111933210277311,0.0139943479263405,NaN
1964.75,-0.00131288381798988,-0.00154661928707966,NaN
1965,0.0197278403747512,0.0178744362827779,NaN
1965.25,0.00850316545518437,0.00691760897521831,NaN
1965.5,0.018667101853751,0.0137148195010774,NaN
1965.75,0.0194366447047054,0.0243828158848474,NaN
1966,0.0213650181432286,0.0119685588646825,NaN
1966.25,0.000611752302925428,-0.000239300629531147,NaN
1966.5,0.00558296430730598,0.00850428578118168,NaN
1966.75,0.00518572523455418,0.00117266248433801,NaN
1967,0.00550469319414937,0.00243363199049096,NaN
1967.25,-0.00312571490927427,0.00984064999303635,0.0211137
1967.5,0.00449808774434324,0.000188140640384304,0.0025142
1967.75,0.0029766963477047,0.00156540800532312,0.0510659
1968,0.0162996482540811,0.0197923605238683,0.0477209
1968.25,0.0131831177886257,0.0117256470823226,0.0211638
1968.5,0.00364586386336985,0.0144947236520445,0.0201869
1968.75,-0.000826908965529949,-0.000251691827377609,0.0272501
1969,0.0110547178168403,0.00655160199775962,0.0318841
1969.25,-0.00103450144317163,0.00236052670871878,0.034099
1969.5,0.00230468399958461,0.000584917439308885,0.0256507
1969.75,-0.00971887927011705,0.00313051893228211,0.0188742
1970,-0.00667025777061969,0.00100125305991972,0.0001645
1970.25,-0.00391502613531847,-0.000813511754370833,0.0240813
1970.5,0.00348747778175884,0.0030429936780032,-0.0155161
1970.75,-0.0166087305583753,-0.00855316980819953,-0.0495334
1971,0.021219913578566,0.0134357096238893,-0.0360478
1971.25,-0.000295605203825211,0.00345635986205517,-0.0281715
1971.5,0.00266637432466821,0.00241161375209709,0.027449
1971.75,-0.00331153170556053,0.010789741443924,0.0491154
1972,0.00694515983986932,0.00183448569376621,0.0691191
1972.25,0.017189920783609,0.0136037716098261,0.0254404
1972.5,0.00409911451937228,0.00999312874746749,0.0298642
1972.75,0.0118268974916598,0.0184165996765504,0.0344485
1973,0.0192998941454312,0.0129456936402979,0.037726
1973.25,0.00566635562163942,-0.00561230440141403,0.0481921
1973.5,-0.0104303982311906,-0.00164386166262709,0.060615
1973.75,0.00439052921372429,-0.00804412589327619,0.0674455
1974,-0.0137535798256168,-0.0141055894418316,0.0650751
1974.25,-0.00271414886836396,-0.00149377017913421,0.0408584
1974.5,-0.0145011936043553,-0.00071861680326446,0.0143926
1974.75,-0.00889309640060709,-0.0197289775749185,0.0245933
1975,-0.0170908074138447,0.0035090861255398,-0.0580995
1975.25,0.00239172071600668,0.0115864568661861,-0.0326494
1975.5,0.0112820081788421,0.00842278002800745,0.006372
1975.75,0.00845627977348373,0.00577691401013913,0.0326204
1976,0.0174638157154963,0.0150216743106548,0.0449365
1976.25,0.00281499269388119,0.00466334107570665,0.0636352
1976.5,0.000649768122620742,0.00565148416427608,0.0768271
1976.75,0.00278993578396403,0.00845892512128188,0.0779717
1977,0.00737493275519929,0.0073472271247037,0.0609287
1977.25,0.0145688130708268,0.000722156453603962,0.0887563
1977.5,0.0129950677172479,0.00452327326792235,0.0664583
1977.75,-0.00442579303862756,0.0104760162528033,0.060599
1978,-0.00110255202458598,0.00131302420970547,0.0521878
1978.25,0.0335923894669738,0.0168311543625173,0.0624023
1978.5,0.0054361462543886,-0.000378568757978925,0.0525965
1978.75,0.0086852680347187,0.00337020515867081,0.0574406
1979,-0.00268586274324845,0.000683710630793755,0.0615005
1979.25,-0.00314217909516135,-0.00486005953378665,0.0393678
1979.5,0.00283677118144121,0.00511935143778919,0.0761841
1979.75,-0.00266457941418574,-0.00267725721865242,0.0718959
1980,-0.00111233867711125,-0.00568290806072635,0.0738922
1980.25,-0.0247300574900384,-0.0266884457627117,0.0429416
1980.5,-0.00533192877130073,0.00676687990731706,0.035216
1980.75,0.0150155367538964,0.00995845025950182,0.0486572
1981,0.0159410033688983,-0.000119408864756032,0.0440695
1981.25,-0.0107311062493736,-0.00322020918482657,0.0452467
1981.5,0.00852228581074765,0.00123333480097854,0.0488
1981.75,-0.014339511237524,-0.0102478257823528,0.0226902
1982,-0.0186161334406907,0.00438022044981823,0.0307078
1982.25,0.00150663545702789,-3.5492043735097e-06,0.0394767
1982.5,-0.00674240238246471,0.00376917845693603,0.0223638
1982.75,-0.00263523968404433,0.0143306335342435,0.0080188
1983,0.0104434327936107,0.00718937665070296,0.0429673
1983.25,0.0198974249697428,0.0175546658502492,0.0477448
1983.5,0.0169691659953819,0.0149486139886652,0.0589514
1983.75,0.017779761635472,0.0129422623809203,0.0589372
1984,0.0152046557956491,0.00411013989017439,0.0552944
