dates,data_GDP,data_cc,data_inv,data_dpc,data_dpas,data_dwc,data_nc,data_gas,data_ukas,data_invRed,data_FFRshadow,data_ASind
1960,0.0154390665072768,0.00273162464115373,0.0889985409752407,1.00157917741444,1.00188397712067,1.00795760167331,0.00749451979821769,0.16722523644533,68.1814,0.0268374681871881,3.93131868131868,-0.0023631893108518
1960.25,-0.00822035941181287,0.00972055598840349,-0.100652439416012,1.00251159900002,1.00137118864641,1.00795760167331,0.00749451979821769,0.191364066136731,67.0209333333333,0.0283021223903317,3.69505494505495,-0.0138823227805856
1960.5,0.00168895132080893,-0.00719881530288369,-0.00573724596086933,1.0034440205856,1.00085840017215,1.00795760167331,0.00749451979821769,0.215502895828132,66.1836666666667,0.0165483215087399,2.9375,-0.00868771162306196
1960.75,-0.0164313159115812,-0.00221987165019222,-0.120925091535095,1.00295755095822,1.00034561169789,1.00795760167331,0.00749451979821769,0.239641725519532,66.2226,0.012597535870313,2.29619565217391,0.00388589722832397
1961,0.0030835150116082,-0.00401448134269256,0.0219785593620383,1.00215856124416,0.999832823223626,1.00795760167331,0.00749451979821769,0.263780555210933,66.1497333333333,0.0179862787296123,1.98755555555556,0.0023025176584256
1961.25,0.0136095787258772,0.0115496370242969,0.0644997280993991,1.00229890393886,0.999903554836247,1.00795760167331,0.00749451979821769,0.310143059040562,67.1787,0.0256186111927992,1.73351648351648,0.0181392935952854
1961.5,0.0159448401059841,0.00178231253736705,0.0717991911596565,1.00256612686846,0.999974286448868,1.00795760167331,0.00749451979821769,0.356505562870191,68.3227,0.022171722800838,1.67934782608696,0.0203883561565584
1961.75,0.0178341965119029,0.0183277874278982,0.0148233513644875,1.00313186224941,1.00004501806149,1.00795760167331,0.00749451979821769,0.402868066699819,71.7555,0.0201395455002693,2.39673913043478,0.0582622151617559
1962,0.0160948324805577,0.00895258089341855,0.050927901962325,1.00513920048738,1.00011574967411,1.00795760167331,0.00749451979821769,0.449230570529448,73.6320333333333,0.0172102333806352,2.45833333333333,0.0357409775288869
1962.25,0.00531151326205759,0.00853422318895891,-0.0116010497339003,1.00164221245725,0.999909762872423,1.00795760167331,0.00749451979821769,0.539095171589351,76.0865333333333,0.022921763035936,2.60714285714286,0.0482620372805851
1962.5,0.007641616587303,0.00345821397995927,0.0122814824262196,1.00211285179445,0.999703776070735,1.00795760167331,0.00749451979821769,0.628959772649254,79.1231333333333,0.024092120619648,2.84510869565217,0.0629008340653942
1962.75,-0.00233054926673937,0.00843626190494362,-0.0353082307169856,1.00204347374197,0.999497789269048,1.00795760167331,0.00749451979821769,0.718824373709158,79.8648333333333,0.0284108358890691,2.92402173913043,0.0185531816179771
1963,0.00595861868177971,0.00208216401599337,0.0463776084036978,1.00436633161067,0.99929180246736,1.00795760167331,0.00749451979821769,0.808688974769061,84.2029333333333,0.035562091477666,2.96566666666667,0.0976125633938495
1963.25,0.00683835389812781,0.00507176739161519,0.0114629196928417,1.00175474488207,0.999761517113728,1.00795760167331,0.00749451979821769,0.864712407531936,81.8693,0.0311529596336504,2.96450549450549,-0.0484992848483632
1963.5,0.017637300197495,0.00936602343443038,0.0262150665736591,1.00131566518937,1.0002312317601,1.00795760167331,0.00749451979821769,0.920735840294811,83.4859666666667,0.025404109092074,3.32652173913043,0.0389660053489823
1963.75,0.00231267730531703,0.00407618803818499,0.007846617566166,1.00808998908938,1.00070094640646,1.00795760167331,0.00749451979821769,0.976759273057686,82.5201666666667,0.0171737895151276,3.45130434782609,-0.0181023538581695
1964,0.0166564652321779,0.0152295216686649,0.0325355453524399,1.00313610009776,1.00117066105283,1.00795760167331,0.00749451979821769,1.03278270582056,82.5397333333333,0.0132605219501807,3.4643956043956,0.00376416704163654
1964.25,0.00683512264362518,0.0135411128965153,-0.00760078365110051,1.00230039246024,1.000446559912,1.00795760167331,0.00749451979821769,1.06271556129751,82.6961666666667,0.0143363493268236,3.48791208791209,0.00677765978049746
1964.5,0.0111933210277311,0.0139943479263405,0.0187620892299503,1.00398763399263,0.999722458771168,1.01051258038909,0.00369514753576361,1.09264841677445,80.425,0.0125090082301718,3.45652173913043,-0.0455104415202525
1964.75,-0.00131288381798988,-0.00154661928707966,0.00505685294582214,1.00452827121925,0.998998357630336,1.00521513567911,0.00581027900671405,1.12258127225139,80.9090666666667,0.0125007337231144,3.57510869565217,0.0135381619677145
1965,0.0197278403747512,0.0178744362827779,0.0868879941659984,1.00502466788232,0.998274256489504,1.01163555467275,0.00935266364090914,1.15251412772834,81.0682333333333,0.0163275938326555,3.97722222222222,0.00671390414249384
1965.25,0.00850316545518437,0.00691760897521831,-0.00142675037684104,1.00457524449552,0.998999006641577,1.00895719360402,0.00733999980516309,1.15037166377211,82.5553333333333,0.0181815444814504,4.07945054945055,0.0354950432625749
1965.5,0.018667101853751,0.0137148195010774,0.0309033877486184,1.00387500512233,0.99972375679365,1.00887767403202,0.00551328922338712,1.14822919981589,84.0159666666667,0.0209858180670803,4.0775,0.0359513678221293
1965.75,0.0194366447047054,0.0243828158848474,0.0032585458219252,1.00685018505595,1.00044850694572,1.0100503358535,0.009391795180131,1.14608673585967,87.4233,0.0255031298295352,4.17076086956522,0.0833856854851932
1966,0.0213650181432286,0.0119685588646825,0.0741781008067059,1.00641492344837,1.0011732570978,1.00871194060202,0.0131464488986084,1.14394427190344,90.8352666666667,0.0257108672823874,4.559,0.0890536632542516
