dates,data_GDP,data_cc,data_NASADoD
1960,0.0154390665072768,0.00273162464115373,NaN
1960.25,-0.00822035941181287,0.00972055598840349,0.0539396958371179
1960.5,0.00168895132080893,-0.00719881530288369,0.0311027159822774
1960.75,-0.0164313159115812,-0.00221987165019222,0.0117889264203475
1961,0.0030835150116082,-0.00401448134269256,-0.00637447005851843
1961.25,0.0136095787258772,0.0115496370242969,0.00449254719601
1961.5,0.0159448401059841,0.00178231253736705,0.015073098935561
1961.75,0.0178341965119029,0.0183277874278982,0.0247359263346834
1962,0.0160948324805577,0.00895258089341855,0.0321459920709559
1962.25,0.00531151326205759,0.00853422318895891,0.0251301353731539
1962.5,0.007641616587303,0.00345821397995927,0.0150062235309312
1962.75,-0.00233054926673937,0.00843626190494362,0.00577345861478906
1963,0.00595861868177971,0.00208216401599337,-0.00558646844608957
1963.25,0.00683835389812781,0.00507176739161519,-0.00157553338395267
1963.5,0.017637300197495,0.00936602343443038,0.000201942771460573
1963.75,0.00231267730531703,0.00407618803818499,-0.00515835591096359
1964,0.0166564652321779,0.0152295216686649,0.00106585911167056
1964.25,0.00683512264362518,0.0135411128965153,-7.77537341833945e-05
1964.5,0.0111933210277311,0.0139943479263405,-0.00373809948230086
1964.75,-0.00131288381798988,-0.00154661928707966,-0.00635911292937541
1965,0.0197278403747512,0.0178744362827779,-0.00881839488552649
1965.25,0.00850316545518437,0.00691760897521831,0.00989767431605704
1965.5,0.018667101853751,0.0137148195010774,0.0281113698828381
1965.75,0.0194366447047054,0.0243828158848474,0.0410619532779326
1966,0.0213650181432286,0.0119685588646825,0.0551227726371137
1966.25,0.000611752302925428,-0.000239300629531147,0.0462290446802522
1966.5,0.00558296430730598,0.00850428578118168,0.038427557459414
1966.75,0.00518572523455418,0.00117266248433801,0.0341625419961256
1967,0.00550469319414937,0.00243363199049096,0.0334121728395871
1967.25,-0.00312571490927427,0.00984064999303635,0.0260043351578223
1967.5,0.00449808774434324,0.000188140640384304,0.0156556835335351
1967.75,0.0029766963477047,0.00156540800532312,0.00862084947033437
1968,0.0162996482540811,0.0197923605238683,0.00349814022088824
1968.25,0.0131831177886257,0.0117256470823226,-0.000277243591070953
1968.5,0.00364586386336985,0.0144947236520445,-0.00363627496041596
1968.75,-0.000826908965529949,-0.000251691827377609,-0.01196514542751
1969,0.0110547178168403,0.00655160199775962,-0.0122435247504786
1969.25,-0.00103450144317163,0.00236052670871878,-0.0146572121092443
1969.5,0.00230468399958461,0.000584917439308885,-0.015970512918162
1969.75,-0.00971887927011705,0.00313051893228211,-0.0148523445230921
1970,-0.00667025777061969,0.00100125305991972,-0.0160373710746955
1970.25,-0.00391502613531847,-0.000813511754370833,-0.0220439897833455
1970.5,0.00348747778175884,0.0030429936780032,-0.0226157167739738
1970.75,-0.0166087305583753,-0.00855316980819953,-0.0341407358578565
1971,0.021219913578566,0.0134357096238893,-0.0429936577572412
1971.25,-0.000295605203825211,0.00345635986205517,-0.0295217200908284
1971.5,0.00266637432466821,0.00241161375209709,-0.0145429389969465
1971.75,-0.00331153170556053,0.010789741443924,-0.000491830177978381
1972,0.00694515983986932,0.00183448569376621,0.00466188396692413
1972.25,0.017189920783609,0.0136037716098261,0.00598171282970217
1972.5,0.00409911451937228,0.00999312874746749,-0.00463410301811362
1972.75,0.0118268974916598,0.0184165996765504,-0.0149276117457573
1973,0.0192998941454312,0.0129456936402979,-0.0209849511322626
1973.25,0.00566635562163942,-0.00561230440141403,-0.0136589392082753
1973.5,-0.0104303982311906,-0.00164386166262709,-0.00665211362529616
1973.75,0.00439052921372429,-0.00804412589327619,0.00358585618577845
1974,-0.0137535798256168,-0.0141055894418316,0.0145348031042498
1974.25,-0.00271414886836396,-0.00149377017913421,0.00165958515748255
1974.5,-0.0145011936043553,-0.00071861680326446,-0.0115029916781668
1974.75,-0.00889309640060709,-0.0197289775749185,-0.0188612178126146
1975,-0.0170908074138447,0.0035090861255398,-0.019399182163865
1975.25,0.00239172071600668,0.0115864568661861,-0.0117066440553146
1975.5,0.0112820081788421,0.00842278002800745,-0.0144784464548389
1975.75,0.00845627977348373,0.00577691401013913,-0.0135803907475398
1976,0.0174638157154963,0.0150216743106548,-0.00752715207119792
1976.25,0.00281499269388119,0.00466334107570665,0.000762748900252408
1976.5,0.000649768122620742,0.00565148416427608,0.00549246516382729
1976.75,0.00278993578396403,0.00845892512128188,0.00768051346569698
1977,0.00737493275519929,0.0073472271247037,0.0160856594458283
1977.25,0.0145688130708268,0.000722156453603962,0.0131519072109496
1977.5,0.0129950677172479,0.00452327326792235,0.0105344798258753
1977.75,-0.00442579303862756,0.0104760162528033,-0.00301054997980477
1978,-0.00110255202458598,0.00131302420970547,-0.000115821441554864
1978.25,0.0335923894669738,0.0168311543625173,-0.000146744313203717
1978.5,0.0054361462543886,-0.000378568757978925,0.00618603086400538
1978.75,0.0086852680347187,0.00337020515867081,0.006647148791038
1979,-0.00268586274324845,0.000683710630793755,0.0124567783433349
1979.25,-0.00314217909516135,-0.00486005953378665,0.00526768889544149
1979.5,0.00283677118144121,0.00511935143778919,0.00691649041652243
1979.75,-0.00266457941418574,-0.00267725721865242,0.00921908076699363
1980,-0.00111233867711125,-0.00568290806072635,0.00597271377067909
1980.25,-0.0247300574900384,-0.0266884457627117,0.00945671560478556
1980.5,-0.00533192877130073,0.00676687990731706,0.0164515383945036
1980.75,0.0150155367538964,0.00995845025950182,0.0177606305177647
1981,0.0159410033688983,-0.000119408864756032,0.0217443394530652
